지역,값
속초,1407.2
철원,1354.4
동두천,1417.1
파주,1295.8
대관령,1695.1
춘천,1341.5
백령도,787.3
강릉,1444.9
동해,1264.3
서울,1417.9
인천,1207.4
원주,1299
울릉도,1480.6
수원,1320.3
영월,1205.1
충주,1214.3
서산,1253.9
울진,1181.7
청주,1232.4
대전,1351.2
추풍령,1195.3
안동,1045.7
상주,1178.6
포항,1192.4
군산,1246
울산,1292.6
창원,1534.1
광주,1380.6
부산,1576.7
통영,1535.8
목포,1167.7
여수,1449.1
흑산도,1127.3
완도,1531.5
고창,1225.5
제주,1502.3
고산,1182.9
성산,2030
서귀포,1989.6
진주,1518
강화,1266.2
양평,1383.6
이천,1315.9
인제,1204.6
홍천,1338.9
태백,1308
정선군,1126.6
제천,1359.3
보은,1305.3
천안,1218.7
보령,1191.4
부여,1326.6
금산,1288.6
부안,1238
임실,1335.6
정읍,1329.8
남원,1353.2
장수,1486
영광군,1277.8
김해시,1375.8
순창군,1473.3
양산시,1483.3
강진군,1442.1
장흥,1471.8
해남,1282
고흥,1449.3
의령군,1355
함양군,1325.1
진도군,1374.7
봉화,1175.6
영주,1334
문경,1294.9
청송군,967.2
영덕,1112.2
의성,1011.2
구미,1113.1
영천,1085.9
경주시,1121.2
거창,1294.7
합천,1289.9
밀양,1226.6
산청,1556.2
거제,1930.3
남해,1921.2
강남,1320.9
서초,1305.1
강동,1328.9
송파,1294.1
강서,1226.9
양천,1207.7
도봉,1472.6
노원,1361.9
동대문,1357
중랑,1345.5
기상청,1278.6
마포,1272.7
서대문,1234.4
광진,1307.3
성북,1385
용산,1236.9
은평,1224.5
금천,1267.5
중구,1117.3
성동,1269
구로,1258.1
강북,1440.2
남현,1432.8
부천,1205
안양,1294.9
광명,1288.8
군포,1327.6
김포,1160.5
하남,1110.6
의왕,1314
포천,1368.2
가평조종,1374.8
영등포,1227.8
인천연수,1085.4
안성,1194.9
간성,1401.9
평창,1182.9
의정부,1456.2
횡성,1331.5
고양,1156.4
남양주,1358.4
안산,1103.8
경기광주,1308.1
여주,1173
용인,1291.9
오산,1204.4
평택,1144.3
화천,1257.9
양구,1167
시흥,1122.6
구리,1330
금곡,1136.2
화성,1102.2
성남,1274.8
과천,1313.1
진부령,1564.5
양주,1316.9
단양,1049.9
진천,1234.2
괴산,1286.7
옥천,1199.3
홍북,1228.1
세종연서,1204.9
공주,1292.6
서천,1175.8
논산,1211.8
당진,1165.5
청양,1291.4
음성,1220.8
증평,1153.2
태안,1157.2
예산,1158.2
아산,1132.9
계룡,1401.6
문화,1340.5
세천,1239.8
장동,1245.3
부평,1142.6
연천청산,1295.8
양양,1311.2
사북,1257.1
무안,1290.1
무주,1105.3
익산,1157.3
진안,1324.7
담양,1344
광산,1260.6
구례,1296
나주,1310.4
순천시,1467.4
광양읍,1424.3
조선대,1330.9
거문도,1338.2
추자도,1127.7
장성,1339.7
영암,1218.4
보성,1542.2
완주,1296.1
김제,1089.9
화순,1308
함평,1256.1
곡성,1332.9
성판악,4381
풍암,1381.4
압해도,1124.8
영양,996.7
성주,1126.1
고령,1235.4
청도,1196.9
예천,1057.3
김천,1068.2
군위,987.5
칠곡,1041.5
경산,1091.7
달성,1122.6
서구,1107.2
대구,1080.8
전주,1299.3
삼척,1258.2
울기,1169.2
삼천포,1446.3
영도,1285.6
고성,1470.4
창녕,1192.6
함안,1277.1
가덕도,1118
기장,1451.9
간절곶,1327.1
하동,1675.1
해운대,1509.7
부산진,1521.6
동래,1482.7
북구,1398.5
부산남구,1514
정자,1334.9
